condition,kind,domain,loss,perplexity,n_tokens
healthy,healthy,codeparrot,1.826035737991333,6.209222316741943,50078
network1,knockout,codeparrot,1.6101852655410767,5.003737926483154,50078
network1_baseline0,baseline,codeparrot,1.8360670804977417,6.271823406219482,50078
network1_baseline1,baseline,codeparrot,3.0040030479431152,20.16610336303711,50078
network1_baseline2,baseline,codeparrot,1.6251633167266846,5.079248428344727,50078
network2,knockout,codeparrot,2.98431396484375,19.772932052612305,50078
network2_baseline0,baseline,codeparrot,1.617301344871521,5.0394721031188965,50078
network2_baseline1,baseline,codeparrot,1.8641877174377441,6.450693607330322,50078
network2_baseline2,baseline,codeparrot,1.738193392753601,5.68705940246582,50078
union,knockout,codeparrot,4.640360355377197,103.5816879272461,50078
union_baseline0,baseline,codeparrot,1.789190411567688,5.98460578918457,50078
union_baseline1,baseline,codeparrot,2.19877290725708,9.013946533203125,50078
union_baseline2,baseline,codeparrot,1.6922810077667236,5.431856632232666,50078
healthy,healthy,random,11.72522258758545,123651.5703125,50078
network1,knockout,random,11.726903915405273,123859.5546875,50078
network1_baseline0,baseline,random,11.756762504577637,127613.65625,50078
network1_baseline1,baseline,random,11.714999198913574,122393.796875,50078
network1_baseline2,baseline,random,11.715104103088379,122406.6171875,50078
network2,knockout,random,13.430580139160156,680497.6875,50078
network2_baseline0,baseline,random,11.746461868286133,126305.875,50078
network2_baseline1,baseline,random,11.693290710449219,119765.421875,50078
network2_baseline2,baseline,random,11.699817657470703,120549.703125,50078
union,knockout,random,13.240076065063477,562460.625,50078
union_baseline0,baseline,random,11.63460636138916,112939.40625,50078
union_baseline1,baseline,random,11.67757797241211,117898.3359375,50078
union_baseline2,baseline,random,11.67419719696045,117500.4609375,50078
healthy,healthy,tldr17,3.3754544258117676,29.237567901611328,50078
network1,knockout,tldr17,3.3193531036376953,27.642459869384766,50078
network1_baseline0,baseline,tldr17,3.4059031009674072,30.141504287719727,50078
network1_baseline1,baseline,tldr17,3.363088846206665,28.87825584411621,50078
network1_baseline2,baseline,tldr17,3.356234312057495,28.680984497070312,50078
network2,knockout,tldr17,4.03728723526001,56.672386169433594,50078
network2_baseline0,baseline,tldr17,3.3779406547546387,29.310346603393555,50078
network2_baseline1,baseline,tldr17,3.346282720565796,28.396976470947266,50078
network2_baseline2,baseline,tldr17,3.328282117843628,27.890390396118164,50078
union,knockout,tldr17,5.594151496887207,268.84942626953125,50078
union_baseline0,baseline,tldr17,3.5419623851776123,34.53462219238281,50078
union_baseline1,baseline,tldr17,3.419522523880005,30.554819107055664,50078
union_baseline2,baseline,tldr17,3.4350178241729736,31.031963348388672,50078
healthy,healthy,wikitext,3.4495229721069336,31.485370635986328,50078
network1,knockout,wikitext,3.4514803886413574,31.54705810546875,50078
network1_baseline0,baseline,wikitext,3.478055953979492,32.39668273925781,50078
network1_baseline1,baseline,wikitext,3.45356822013855,31.612991333007812,50078
network1_baseline2,baseline,wikitext,3.4941487312316895,32.9222526550293,50078
network2,knockout,wikitext,4.428614616394043,83.81521606445312,50078
network2_baseline0,baseline,wikitext,3.4584782123565674,31.768596649169922,50078
network2_baseline1,baseline,wikitext,3.4682791233062744,32.081485748291016,50078
network2_baseline2,baseline,wikitext,3.456502914428711,31.705904006958008,50078
union,knockout,wikitext,6.232332229614258,508.9411315917969,50078
union_baseline0,baseline,wikitext,3.600881576538086,36.63051223754883,50078
union_baseline1,baseline,wikitext,3.5396344661712646,34.45431900024414,50078
union_baseline2,baseline,wikitext,3.6040873527526855,36.74813461303711,50078
